,details,prix,etat,marque,adresse,lien_image
56,iPhone 14 pro max,450 000 F Cfa,Venant,iPhone,Parcelles Assainies                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/533f91c5800d066fdaed8aaace41862a/-/horizon-files-prod/ed/picture/qpdmrdxj/08a4ec50cf791af619dbe68d6c97d4ddd331d9ad.jpg
57,Vente Samsung Galaxy Z Flip 4 5G,225 000 F Cfa,Venant,Samsung,Plateau                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6245913345987302a8e45fdf0efd8d03/-/horizon-files-prod/ed/picture/q78w68jj/4628caec72d2b9e7b67743ec8b079c3f3bfc35a1.jpg
58,Vente Oppo Reno 12F 5G,145 000 F Cfa,Neuf,Oppo,Plateau                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cba6110c660a0a0fc9e1727d4048cd94/-/horizon-files-prod/ed/picture/qrz8xwjx/203223b3a2caffb263528dc7f3bb2b8fcb22ecbd.jpg
59,Vente Samsung Galaxy A55 5G,195 000 F Cfa,Neuf,Samsung,Plateau                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/55794da2e3d5466c99646771211b8868/-/horizon-files-prod/ed/picture/qkr8ejpw/5d1ed9cc866f78573af40647a97a4cdd1d7a556b.jpg
60,Poco x6 pro 5g,215 000 F Cfa,Venant,Xiaomi,Hann maristes                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/104b2e2e1ac7b517c331cdf78ce9fef5/-/horizon-files-prod/ed/picture/q44n5rq5/bb8977abd1c006d6f770d662782e65177497f552.jpg
61,Tecno spark 20pro neuf 256go ram 8go,85 000 F Cfa,Neuf,Tecno,Patte d‘oie                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6cf23afeb627fcf1c4f9ec10150a699/-/horizon-files-prod/ed/picture/qde7zx72/7fa1a00eae0773564a8afb385e069fbf43083554.jpg
62,Honor 90 256Go,200 000 F Cfa,Neuf,Honor,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/afbc99f2177d9c16989b357f0ac86efc/-/horizon-files-prod/ed/picture/q2j09d9j/4c6d832c3cf7ed758c07de47151de83dd55b5839.jpg
63,Samsung galaxy S23 + 256GB 8GB ram 2sim,275 000 F Cfa,Venant,Samsung,Pikine                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f7c5fe0405bec246c22ee794ababd5c/-/horizon-files-prod/ed/picture/q44nvwxp/8f898135d9a295aa637e91fe41d245f51a663e2e.jpg
64,iPhone 11 simple,155 000 F Cfa,Neuf,iPhone,Parcelles Assainies                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/02eb5f7476701c386b00964c74b34f9c/-/horizon-files-prod/ed/picture/q8v42zz7/477050a72882d5fd71a83fcf943a3830faa67b9d.jpg
65,iPhone 15 plus,530 000 F Cfa,Venant,iPhone,Parcelles Assainies                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/879be8a6ddd20718b05db1ba1ff345b9/-/horizon-files-prod/ed/picture/q44n98d8/5139ddf807df63fb8980379614a91ba96bcc34c4.jpg
66,iPhone 14 pro max,450 000 F Cfa,Venant,iPhone,Parcelles Assainies                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/533f91c5800d066fdaed8aaace41862a/-/horizon-files-prod/ed/picture/qpdmrdxj/08a4ec50cf791af619dbe68d6c97d4ddd331d9ad.jpg
67,Vente Samsung Galaxy Z Flip 4 5G,225 000 F Cfa,Venant,Samsung,Plateau                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6245913345987302a8e45fdf0efd8d03/-/horizon-files-prod/ed/picture/q78w68jj/4628caec72d2b9e7b67743ec8b079c3f3bfc35a1.jpg
68,Vente Oppo Reno 12F 5G,145 000 F Cfa,Neuf,Oppo,Plateau                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cba6110c660a0a0fc9e1727d4048cd94/-/horizon-files-prod/ed/picture/qrz8xwjx/203223b3a2caffb263528dc7f3bb2b8fcb22ecbd.jpg
69,Vente Samsung Galaxy A55 5G,195 000 F Cfa,Neuf,Samsung,Plateau                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/55794da2e3d5466c99646771211b8868/-/horizon-files-prod/ed/picture/qkr8ejpw/5d1ed9cc866f78573af40647a97a4cdd1d7a556b.jpg
70,Poco x6 pro 5g,215 000 F Cfa,Venant,Xiaomi,Hann maristes                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/104b2e2e1ac7b517c331cdf78ce9fef5/-/horizon-files-prod/ed/picture/q44n5rq5/bb8977abd1c006d6f770d662782e65177497f552.jpg
71,Tecno spark 20pro neuf 256go ram 8go,85 000 F Cfa,Neuf,Tecno,Patte d‘oie                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6cf23afeb627fcf1c4f9ec10150a699/-/horizon-files-prod/ed/picture/qde7zx72/7fa1a00eae0773564a8afb385e069fbf43083554.jpg
72,Samsung galaxy A16 dual sim 128go ram 4go,95 000 F Cfa,Neuf,Samsung,Patte d‘oie                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/796863e18262773620e858206475a904/-/horizon-files-prod/ed/picture/qm5gwvnr/51c0ad856c674fbe1ed7027cee2bb3c0ff1c7ecb.png
